,,방어무시범위공격,,이동+실드+범위공격,
,,,,,
,,무츠키(새해),,아루(새해),
,,3성 한정 *앵콜,,3성 한정 *앵콜,
,,STRIKER 딜러,,STRIKER 딜러,
,,신비 중장갑,,관통 특수장갑,
,,2코 치명광역딜/PvP,,연쇄뎀+코스트페이백,
,,,,,
,,치세(수영복),,이즈나(수영복),
,,3성 한정 *앵콜,,3성 한정 *앵콜,
,,STRIKER 서포터,,STRIKER 딜러,
,,신비 경장갑,,신비 특수장갑,
,,범위 CC 디버퍼,,DPS/치명저항디버퍼,
,,,,,
07/14 ~ 07/28,,코유키(파자마),,,
,,3성 통상 - 첫출시,,,
,,SPECIAL 서포터,,,
,,신비 경장갑,,,
,,아군1디벞해제/치뎀↑,,,
,,,,,
,,유우카(파자마),,노아(파자마),
,,3성 통상 - 복각,,3성 통상 - 복각," 
비밀의 미드나잇 파티 이벤트 복각
(7/14 ~ 7/21 4:00) 예로니무스(시가전) 대결전
(7/14 ~ 7/21 4:00) 스케쥴, 학원교류회 2배 이벤트

(7/21 ~ 7/28 4:00) 임무(Hard) 2배 이벤트"
,,STRIKER 탱커,,STRIKER 딜러,
,,폭발 중장갑,,관통 경장갑,
,,적1방깎/회복시방어↑,,적1약점/코스트회복↑,
,,,,,
,,후우카(새해),,하루나(새해),
,,3성 한정 - 복각,,3성 한정 - 복각,
,,SPECIAL 서포터,,STRIKER 딜러,
,,관통 특수장갑,,폭발 경장갑,
,,아군1 EX코스트-50%,,적5스플뎀+自폭발특효,
,,,,,
07/28 ~ 08/11,,코노카,,레나,
,,3성 통상 - 첫출시,,3성 통상 - 첫출시,
,,STRIKER 탱커,,STRIKER 서포터,
,,신비 경장갑,,폭발 경장갑,
,,EX스킬시 자힐+코1감,,스페셜치뎀증+공증,
,"키보토스 미확인 미스테리 이벤트
카즈사(밴드), 키라라, 모에, 아스나 애용품 추가
제약해제결전 : 티페레트 (관통/중장갑) 개방
(8/4 ~ 8/11 4:00) 고즈(야전) 총력전",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
08/11 ~ 08/25,,아카네(교복),,,
,,3성 통상 - 첫출시,,,
,,SPECIAL 딜러,,,
,,폭발 경장갑,,,
,,적1뎀/경장피특효가산,,,
,,,,,
,,토키(바니걸),,카린(교복),
,,3성 통상 - 복각,,1성 배포 - 복각," 
Code: BOX 밀레니엄에 다가오는 그림자 이벤트 복각
(8/11 ~ 8/18 4:00) 종합전술시험 (돌파)

(8/18 ~ 8/25 4:00) 페로로지라(야전) 대결전"
,,STRIKER 딜러,,SPECIAL 딜러,
,,폭발 경장갑,,폭발 중장갑,
,,自폭발특효가산/적1공,,적1공(적 체력 비례),
,,,,,
,,세이아,,아스나(교복),
,,3성 한정 - 복각,,3성 한정 - 복각,
,,STRIKER 서포터,,STRIKER 서포터,
,,관통 탄력장갑,,폭발 중장갑,
,,아군1코감/관통특효,,自+스페셜공증/원형힐,
,,,,,
08/25 ~ 09/01,,하레(캠핑),,코타마(캠핑),
,,3성 통상 - 복각,,3성 통상 - 복각,
,,STRIKER 서포터,,STRIKER 서포터,
,,폭발 경장갑,,관통 중장갑,
,,단일+광역 공버프,,단일CC(혼란)/공버프,
,,,,,
,,마키(캠핑),,미사키,
,,3성 통상 - 복각,,3성 통상 - 복각,"샬레 총결산 (17차)
전뇌 신춘행진곡 이벤트 상설화
미니 스토리 '칸바라 미스즈의 우울' 추가"
,,SPECIAL 딜러,,STRIKER 딜러,
,,폭발 중장갑,,폭발 특수장갑,
,,적1공격(보호막 관통),,장판말뚝딜/자기공격증,
,,,,,
09/01 ~ 09/15,,니코,,쿠루미,
,,3성 한정 - 첫출시,,3성 한정 - 첫출시,
,,STRIKER 서포터,,STRIKER 탱커,
,,폭발 탄력장갑,,폭발 경장갑,
,,아군1디벞해제/EX뎀증,,지속힐/적치뎀저/팀공증,
,,,,,
,,오토기,,,"특수작전: 로어추적 이벤트 1차
2부 메인스토리 '프롤로그' 1~4화
2부 메인스토리 Vol.0 '총학생회' 1장
2부 메인스토리 Ex.로어추적 1장 '정오의 아지랑이'
제약해제결전 : 호크마 (신비/중장갑) 개방
(9/8 ~ 9/15 4:00) 카이텐(시가전) 총력전"
,,1성 배포 - 첫출시,,,
,,STRIKER 딜러,,,
,,폭발 특수장갑,,,
,,적1표식딜/EX뎀증버프,,,
,,,,,
09/15 ~ 09/29,,스미레(아르바이트),,레이,
,,3성 통상 - 복각,,3성 통상 - 복각,
,,SPECIAL 서포터,,STRIKER 딜러,
,,관통 경장갑,,진동 경장갑,
,,적1공비례뎀/약점부여,,원형범위딜/自진동특효,
,,,,,
,,아카리(새해),,이즈미(새해),
,,3성 통상 - 복각,,3성 통상 - 복각,"
PRAY-BALL! ~노려라! 만루 홈런~ 이벤트 복각
(9/15 ~ 9/22 4:00) 종합전술시험(방어)

(9/22 ~ 9/29 4:00) 쿠로카게(시가전) 대결전"
,,SPECIAL T.S,,SPECIAL 서포터,
,,신비 특수장갑,,폭발 경장갑,
,,범위공속&신비특효+,,원형범위 힐+공격력↑,
,,,,,
,,하루카(새해),,,
,,3성 통상 - 복각,,,
,,SPECIAL 서포터,,,
,,폭발 경장갑,,,
,,치명디벞/코스트회복↑,,,
,,,,,
09/29 ~ 10/06,,에리카,,키라라,
,,3성 통상 - 첫출시,,3성 통상 - 복각,
,,SPECIAL 서포터,,STRIKER 딜러,
,,진동 경장갑,,진동 경장갑,
,,아군1힐+디벞해제+크리,,추가뎀공격/즉시재장전,
,,,,,
,,츠바키(가이드),,피나(가이드),
,,3성 통상 - 복각,,3성 통상 - 복각,"
~와글와글하며 오손도손하게~ 이벤트 상설화

샬레 총결산 (18차)

PvP 전술경연 대회 시즌11 (야전) 시작

미니 스토리 'ON AIR : 게헨나' 추가"
,,SPECIAL 서포터,,SPECIAL 딜러,
,,관통 중장갑,,폭발 중장갑,
,,원형내 아군6인 공버프,,적1공/데미지15%가산,
,,,,,
,,우미카,,,
,,3성 통상 - 복각,,,
,,STRIKER 딜러,,,
,,신비 특수장갑,,,
,,체력비례 폭죽장치 소환,,,
,,,,,
10/06 ~ 10/20,,무츠키(드레스),,하루카(드레스),
,,3성 통상 - 첫출시,,3성 통상 - 첫출시,
,,SPECIAL 딜러,,STRIKER 딜러,
,,신비 중장갑,,폭발 경장갑,
,,적1공/원형치명저항↓,,체력비례딜/자힐/치뎀↑,
,,,,,
,,아루(드레스),,카요코(드레스),
,,3성 통상 - 복각,,3성 통상 - 복각,
,,STRIKER 서포터,,STRIKER 딜러,
,,관통 중장갑,,관통 경장갑,"특수작전: 로어추적 이벤트 2차
2부 메인스토리 Ex.로어추적 2장 '드럼에 숨겨진 것들'

0068 오페라로부터 사랑을 담아서! 이벤트 상설화
미니 스토리 '혼자 피지 않는 잡초' 추가
제약해제결전 : 세트의 분노 (폭발/특수장갑) 개방

(10/13 ~ 10/20 4:00) 드럼통 게(시가전) 총력전"
,,아군1치뎀버퍼/적디벞,,적1방어무시&확정치명,
,,,,,
,,사오리(드레스),,,
,,3성 통상 - 복각,,,
,,STRIKER 딜러,,,
,,진동 경장갑,,,
,,원형범위딜/스코+/공속,,,
,,,,,
10/20 ~ 10/27,,나구사(수영복),,유카리(수영복),
,,3성 통상 - 첫출시,,3성 통상 - 복각,
,,STRIKER 서포터,,STRIKER 딜러,
,,폭발 중장갑,,관통 경장갑,
,,自+스페셜 폭발특효↑,,원형범위공격/관통특효,
,,,,,
,,키쿄(수영복),,렌게(수영복),
,,3성 통상 - 복각,,2성 통상 - 복각,"백에서 피어난 한 송이 이벤트 복각 (~11/03)
(10/20 ~ 10/27 4:00) 종합전술시험(사격)"
,,SPECIAL 서포터,,STRIKER 딜러,
,,진동 중장갑,,진동 특수장갑,
,,아군 치명데미지 버프,,적1공/수압버프,
,,,,,
10/27 ~ 11/03,,카즈사(밴드),,요시미(밴드),
,,3성 한정 - 복각,,3성 한정 - 복각,
,,STRIKER 딜러,,STRIKER 딜러,
,,폭발 특수장갑,,폭발 특수장갑,
,,아군공속업/폭발특효+,,공+공속업/슈가러시+5,
,,,,,
,,나츠(밴드),,아이리(밴드),
,,3성 통상 - 복각,,1성 배포 - 상설화,"백에서 피어난 한 송이 이벤트 복각 (~11/03)
-ive aLIVE! 이벤트 상설화
(10/27 ~ 11/03 4:00) 호버크래프트(야전) 대결전"
,,STRIKER 힐러,,STRIKER 딜러,
,,폭발 특수장갑,,폭발 특수장갑,
,,광역힐/적공격력감소,,폭발특효가산/슈가러시,
,,,,,
11/03 ~ 11/17,,키사키(수영복),,슌&슈에링(수영복),
,,3성 통상 - 첫출시,,3성 통상 - 첫출시,
,,STRIKER 서포터,,STRIKER 딜러,
,,진동 탄력장갑,,진동 경장갑,
,,아군3코감+自코회복↑,,스택EX연사/개전코회복,
,"람과천청(嵐過天晴) 이벤트
제약해제결전 : 티페레트 (관통/탄력장갑) 개방
이로하, 카린(바니걸), 아야네 애용품 추가
신규 가입자용 리미티드대시 모집 추가 : 와카모, 호시노(수영복), 미카 中 택1

(11/10 ~ 11/17 4:00) 그레고리오(실내전) 총력전",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11/17 ~ 11/24,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,"미니 스토리 '약국의 방황' 추가
(11/17 ~ 11/24 4:00) 종합전술시험 (돌파)"
,,,,,
,,,,,
,,,,,
,,,,,
11/17 ~ 11/24,,와카모,,호시노(수영복),"
(11/17 ~ 11/24 11:00) 페스 캐릭터 *리콜렉트 모집 개최

픽업 기간 동안 모집 대상 학생을 한 명 설정할 수 있고,
첫 영입시 초회 보너스로 엘레프 100개 획득
(보너스 이후 반복 설정해도 엘레프 추가 획득 불가)

200회 모집 리콜렉트 포인트로 픽업 학생 교환 가능
(다른 픽업과 모집 포인트 공유 불가능)

리콜렉트 포인트는 이월 불가능
(픽업 종료 후 잔여 포인트는 기동석으로 변환)"
,,3성 페스 *리콜렉트,,3성 페스 *리콜렉트,
,,STRIKER 딜러,,STRIKER 서포터,
,,신비 경장갑,,폭발 특수장갑,
,,DPS/보스특화,,폭발특효/코스트회복↑,
,,,,,
,,미카,,하나코(수영복),
,,3성 페스 *리콜렉트,,3성 페스 *리콜렉트,
,,STRIKER 딜러,,STRIKER 딜러,
,,관통 경장갑,,진동 중장갑,
,,DPS/확정치명/HP비례,,범위공격/방깎/PvP,
,,,,,
,,히나(드레스),"※ 리콜렉트 모집에 편입된 학생은 향후
주년 페스 픽업 때 영입 불가능",,
,,3성 페스 *리콜렉트,,,
,,STRIKER 딜러,,,
,,폭발 탄력장갑,,,
,,2500%공+自폭발특효,,,
